"Reference","Value","Footprint","Manufacturer","MPN","Supplier_PN","QUANTITY"
"A2","OPA1622 dual op-amp on DIP-8 adapter","Package_DIP:DIP-8_W7.62mm_Socket","","","100.231.43","1"
"C1","1000 uF / 35 V bulk","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","","","100.432.81","1"
"C2","100 nF main bypass","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","","","100.448.15","1"
"C3","1000 uF / 25 V HP branch bulk","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","","","100.310.10","1"
"C4","100 nF HP branch bypass","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","","","100.448.15","1"
"C5","10 uF A2 V+ bulk decouple","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","100.004.04","1"
"C6","10 uF VGND decouple","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","100.004.04","1"
"C7","100 nF A2 V+ bypass","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","","","100.448.15","1"
"C8","100 nF VGND bypass","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","","","100.448.15","1"
"C9","1 uF film L input coupling","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm","","","100.008.95","1"
"C10","1 uF film R input coupling","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm","","","100.008.95","1"
"C11","470uF/25V L output coupling","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","","","100.285.01","1"
"C12","470uF/25V R output coupling","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","","","100.285.01","1"
"D1","SB560 Schottky reverse-polarity diode","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","","","100.492.21","1"
"F1","PPTC fuse ~3 A","suboli_control:PPTC_LP30-300_P7.60mm","","","100.238.56","1"
"FB1","Ferrite bead >=1 A","Inductor_THT:L_Axial_L12.0mm_D5.0mm_P15.24mm_Horizontal_Fastron_MISC","","","100.358.61","1"
"J1","DC barrel jack panel header 5.5x2.5","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","","","100.425.38","1"
"J2","3.5 mm TRS input panel header","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","","","100.415.50","1"
"J4","3.5 mm TRS headphone panel header","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","","","100.415.50","1"
"J5","MA12070 module power","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","","","100.425.63","1"
"J6","MA12070 module audio in","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","","","100.415.50","1"
"LED1","Power LED","LED_THT:LED_D5.0mm","","","100.201.14","1"
"LED2","LL-504WC2EW61ED warm white 5mm","LED_THT:LED_D5.0mm","","","100.392.63","1"
"LED3","LL-504WC2EW61ED warm white 5mm","LED_THT:LED_D5.0mm","","","100.392.63","1"
"NT1","Only GND_SIG to GND_STAR connection","NetTie:NetTie-2_SMD_Pad0.5mm","","","","1"
"R1","8.2 k LED resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.39","1"
"R2","100k L input bias to VGND","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.64","1"
"R3","100k R input bias to VGND","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.64","1"
"R4","10 k L feedback","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.41","1"
"R5","10 k L gain to VGND","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.41","1"
"R6","10 k R feedback","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.41","1"
"R7","10 k R gain to VGND","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.41","1"
"R8","10 ohm L output series","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.204.73","1"
"R9","10 ohm R output series","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.204.73","1"
"R10","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","100.205.19","1"
"RV1","Dual-gang 10 k log tactile volume panel header","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","","","100.415.52","1"
"RV2","Dual-gang 10 k log headphone volume panel header","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","","","100.415.52","1"
"RV3","3296W-10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","","100.412.47","1"
"SW1","DPST power switch panel header","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal","","","100.425.66","1"
"TVS1","P6KE24A","Diode_THT:D_DO-15_P10.16mm_Horizontal","","","","1"
"U1","TLE2426ILP","Package_TO_SOT_THT:TO-92_Inline","","","100.346.37","1"
